Timestamp,Current Position,Firm Name,Commercial or Federal Practice,Title Position,Country,Base Salary (USD),Estimated Annual Bonus (USD),Expected total compensation,Average hours per week of work,Received offer from other company this year
10/1/2021 13:06:02,Yes,Other or Boutique,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,16500,25000,41500,70-79,No
9/30/2021 8:19:32,Yes,EY,Commercial/non-federal Practice,Analyst,United States of America,43000,1000,44000,40-49,No
9/29/2021 11:50:18,Yes,PwC,Commercial/non-federal Practice,Analyst,United States of America,44000,2000,46000,40-49,No
9/29/2021 12:00:47,No,,,,United States of America,47500,3000,50500,50-59,Yes
9/30/2021 18:24:54,Yes,PwC,Commercial/non-federal Practice,Analyst,United States of America,50000,600,50600,50-59,Yes
9/29/2021 13:47:32,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,51000,250,51250,40-49,No
9/29/2021 22:12:44,No,,,,United States of America,53000,0,53000,70-79,No
9/30/2021 18:17:05,Yes,Other or Boutique,Federal/government Practice,Analyst,United States of America,56000,0,56000,40-49,Yes
9/29/2021 16:37:41,Yes,Other or Boutique,Not Applicable or Don't Know,Consultant/Associate,United States of America,56000,0,56000,<40,No
9/30/2021 7:05:16,Yes,Accenture,Commercial/non-federal Practice,Analyst,United States of America,53000,4000,57000,50-59,Yes
10/1/2021 20:02:21,Yes,PwC,Commercial/non-federal Practice,Consultant/Associate,United States of America,56000,1000,57000,40-49,No
9/30/2021 23:36:30,Yes,Deloitte,Not Applicable or Don't Know,Consultant/Associate,United States of America,57000,0,57000,40-49,No
9/30/2021 8:44:39,Yes,Other or Boutique,Not Applicable or Don't Know,Analyst,United States of America,57768,200,57968,40-49,No
10/14/2021 16:30:01,Yes,Other or Boutique,Federal/government Practice,Analyst,United States of America,53000,5300,58300,50-59,Yes
9/30/2021 9:57:01,Yes,Other or Boutique,Federal/government Practice,Analyst,United States of America,56000,2800,58800,40-49,No
9/29/2021 11:16:39,Yes,Deloitte,Federal/government Practice,Analyst,United States of America,60000,1,60001,50-59,No
